DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20201201,0000,13.48625,13.52875,13.23425,13.377,5 499 000
20201202,0000,13.35125,13.6725,13.23575,13.5405,4 991 360
20201203,0000,13.5795,13.6595,13.34,13.39675,3 212 280
20201204,0000,13.4395,13.55925,13.4055,13.55925,4 349 520
20201207,0000,13.60625,13.7285,13.50125,13.60975,4 038 840
20201208,0000,13.59425,13.59425,13.292,13.34725,6 059 320
20201209,0000,13.3,13.414,12.869,12.93025,7 875 680
20201210,0000,12.9075,13.06775,12.8735,12.9805,3 906 680
20201211,0000,12.9885,13.01825,12.8265,13.01625,4 554 560
20201214,0000,13.0835,13.38775,13.07825,13.316,7 063 400
20201215,0000,13.44375,13.44725,13.1885,13.36225,3 333 680
20201216,0000,13.427,13.427,13.21275,13.23675,10 844 080
20201217,0000,13.353,13.3745,13.18025,13.34425,6 119 720
20201218,0000,13.375,13.39625,13.075,13.26775,7 839 560
20201221,0000,13.0925,13.369,12.972,13.321,7 775 080
20201222,0000,13.325,13.325,13.05975,13.27375,4 345 760
20201223,0000,13.2595,13.26,13.00525,13.0095,5 013 400
20201224,0000,13.03725,13.13075,12.942,12.99875,3 096 440
20201228,0000,13.05975,13.06175,12.76525,12.90475,6 034 960
20201229,0000,12.94125,13.069,12.84325,12.9465,4 687 440
20201230,0000,12.9995,13.21125,12.901,13.14825,5 710 960
20201231,0000,13.137,13.142375,12.91925,13.05175,6 257 120
20210104,0000,13.09125,13.652,12.9785,13.1095,13 895 560
20210105,0000,13.11125,13.43725,13.09325,13.41025,5 427 440
20210106,0000,13.2225,13.23875,12.58775,12.6175,13 747 000
20210107,0000,12.969,13.37625,12.88775,13.34175,11 774 400
20210108,0000,13.359,13.4085,13.044,13.2805,9 686 560
20210111,0000,13.415,13.958,13.36275,13.613,12 928 720
20210112,0000,13.7,13.74775,13.35275,13.48975,6 906 640
20210113,0000,13.47475,13.611,13.39,13.52825,6 428 200
20210114,0000,13.57725,13.57725,13.186,13.197,7 059 880
20210115,0000,13.2195,13.325,12.85075,12.86,8 126 560
20210119,0000,13.0185,13.09075,12.85125,13.02125,4 409 800
20210120,0000,13.1255,13.42975,13.0625,13.36675,5 894 280
20210121,0000,13.41875,13.99775,13.259,13.86075,10 577 800
20210122,0000,13.75225,13.83925,13.636,13.71175,9 699 600
20210125,0000,13.80875,13.8245,13.24325,13.659,6 275 440
20210126,0000,13.592,13.63725,13.3915,13.432,3 994 720
20210127,0000,13.2075,13.21875,12.79525,12.91875,10 695 320
20210128,0000,12.99125,13.33475,12.97775,13.04025,5 794 360
20210129,0000,13.069,13.33125,12.91825,12.97175,7 647 640
20210201,0000,13.06025,13.2675,12.90925,13.23625,6 797 520
20210202,0000,13.39525,13.571,13.292,13.556,5 449 560
20210203,0000,13.64375,13.9295,13.52025,13.52025,7 809 480
20210204,0000,13.525,13.67075,13.34375,13.67075,4 759 120
20210205,0000,13.73,13.73,13.54975,13.58725,5 354 560
20210208,0000,13.749,14.47325,13.749,14.4425,12 648 760
20210209,0000,14.3505,14.575,14.2225,14.25875,5 689 680
20210210,0000,14.4755,14.905,14.36125,14.768,12 823 240
20210211,0000,14.9875,15.27225,14.94025,15.25825,10 730 600
20210212,0000,15.028,15.29075,14.77675,14.9665,11 038 240
20210216,0000,15.0645,15.367,14.9695,15.318,6 437 840
20210217,0000,15.15475,15.20475,14.78075,14.90775,7 015 760
